rollno,register_sem,subno,sub_type
1801CB12,7,CB407,CORE
1801CB05,7,CB407,CORE
1801CB20,7,CB407,CORE
1801CB21,7,CB407,CORE
1801CB11,7,CB407,CORE
1801CB23,7,CB407,CORE
1801CB14,7,CB407,CORE
1801CB09,7,CB407,CORE
1801CB22,7,CB407,CORE
1801CB07,7,CB407,CORE
1801CB25,7,CB407,CORE
1801CB28,7,CB407,CORE
1801CB15,7,CB407,CORE
