rollno,register_sem,subno,sub_type
2012PH20,3,PH521,CORE
2012PH09,3,PH521,CORE
2012PH14,3,PH521,CORE
2012PH07,3,PH521,CORE
2012PH17,3,PH521,CORE
2012PH15,3,PH521,CORE
2012PH08,3,PH521,CORE
