rollno,register_sem,subno,sub_type
2012MA10,3,MA525,CORE
2012MA15,3,MA525,CORE
2012MA14,3,MA525,CORE
2012MA08,3,MA525,CORE
2012MA12,3,MA525,CORE
2012MA09,3,MA525,CORE
2012MA19,3,MA525,CORE
2012MA11,3,MA525,CORE
